IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.219.240.141	8443	8443	TRUE	SIN	Asia Pacific	Singapore	178	12.23
8.222.152.71	2096	2096	TRUE	SIN	Asia Pacific	Singapore	102	12.23
8.219.129.38	2053	2053	TRUE	SIN	Asia Pacific	Singapore	63	12.22
8.219.170.180	443	443	TRUE	SIN	Asia Pacific	Singapore	105	12.22
47.245.86.230	443	443	TRUE	SIN	Asia Pacific	Singapore	80	12.21
8.213.137.24	443	443	TRUE	ICN	Asia Pacific	Seoul	142	12.21
47.236.15.73	2096	2096	TRUE	SIN	Asia Pacific	Singapore	122	12.2
47.236.65.177	2053	2053	TRUE	SIN	Asia Pacific	Singapore	71	12.2
47.236.94.109	2087	2087	TRUE	SIN	Asia Pacific	Singapore	106	12.19
8.219.73.188	2053	2053	TRUE	SIN	Asia Pacific	Singapore	156	12.19
47.236.201.98	2053	2053	TRUE	SIN	Asia Pacific	Singapore	119	12.19
8.219.178.101	2087	2087	TRUE	SIN	Asia Pacific	Singapore	114	12.19
8.219.201.245	2083	2083	TRUE	SIN	Asia Pacific	Singapore	130	12.18
8.219.185.191	8443	8443	TRUE	SIN	Asia Pacific	Singapore	115	12.17
8.219.195.47	8443	8443	TRUE	SIN	Asia Pacific	Singapore	204	12.17
8.222.215.228	2053	2053	TRUE	SIN	Asia Pacific	Singapore	64	12.17
8.222.212.219	2083	2083	TRUE	SIN	Asia Pacific	Singapore	52	12.16
8.222.180.86	8443	8443	TRUE	SIN	Asia Pacific	Singapore	106	12.16
47.245.11.108	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	280	12.15
8.222.167.147	8443	8443	TRUE	SIN	Asia Pacific	Singapore	53	12.15
8.219.210.64	8443	8443	TRUE	SIN	Asia Pacific	Singapore	135	12.15
47.245.11.216	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	199	12.14
47.245.7.212	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	243	12.14
8.222.145.164	2083	2083	TRUE	SIN	Asia Pacific	Singapore	109	12.13
47.245.30.208	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	171	12.13
8.219.170.58	2053	2053	TRUE	SIN	Asia Pacific	Singapore	162	12.13
47.236.189.173	2096	2096	TRUE	SIN	Asia Pacific	Singapore	171	12.12
8.219.178.225	8443	8443	TRUE	SIN	Asia Pacific	Singapore	129	12.12
8.222.212.116	2083	2083	TRUE	SIN	Asia Pacific	Singapore	7	12.12
47.245.37.12	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	217	12.12
8.219.139.86	2053	2053	TRUE	SIN	Asia Pacific	Singapore	172	12.11
8.209.242.25	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	99	12.11
8.222.134.170	2087	2087	TRUE	SIN	Asia Pacific	Singapore	113	12.11
8.219.147.58	2087	2087	TRUE	SIN	Asia Pacific	Singapore	100	12.11
8.219.175.127	443	443	TRUE	SIN	Asia Pacific	Singapore	86	12.1
47.245.110.13	8443	8443	TRUE	SIN	Asia Pacific	Singapore	92	12.1
8.219.101.138	2087	2087	TRUE	SIN	Asia Pacific	Singapore	92	12.1
8.219.121.87	2053	2053	TRUE	SIN	Asia Pacific	Singapore	83	12.09
47.74.15.120	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	169	12.09
8.219.60.68	8443	8443	TRUE	SIN	Asia Pacific	Singapore	74	12.09
8.222.136.196	2053	2053	TRUE	SIN	Asia Pacific	Singapore	60	12.09
8.219.151.193	2053	2053	TRUE	SIN	Asia Pacific	Singapore	115	12.09
47.245.14.160	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	283	12.07
47.91.29.108	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	93	12.07
8.209.248.161	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	135	12.06
8.222.224.17	2053	2053	TRUE	SIN	Asia Pacific	Singapore	67	12.06
8.219.206.180	2083	2083	TRUE	SIN	Asia Pacific	Singapore	138	12.06
8.219.198.139	2083	2083	TRUE	SIN	Asia Pacific	Singapore	132	12.06
47.236.87.246	2096	2096	TRUE	SIN	Asia Pacific	Singapore	128	12.06



















































